Table B1: SAT Math to ACT Mathematics.,,,Table B2: ACT Mathematics to SAT Math.,
SAT,ACT,,ACT,SAT
800,36,,36,800
790,35,,35,780
*780,35,,34,760
770,35,,33,740
760,34,,32,720
750,33,,31,710
*740,33,,30,700
730,32,,29,680
*720,32,,28,660
710,31,,27,640
*700,30,,26,610
690,30,,25,590
680,29,,24,580
670,28,,23,560
*660,28,,22,540
650,27,,21,530
*640,27,,20,520
630,27,,19,510
620,26,,18,500
*610,26,,17,470
600,25,,16,430
*590,25,,15,400
*580,24,,14,360
570,24,,13,330
*560,23,,12,310
550,23,,11,280
540,22,,10,260
530,21,,,
520,20,,,
510,19,,,
*500,18,,,
490,18,,,
480,17,,,
*470,17,,,
460,17,,,
450,16,,,
440,16,,,
*430,16,,,
420,16,,,
410,15,,,
*400,15,,,
390,15,,,
380,15,,,
370,14,,,
*360,14,,,
350,14,,,
340,13,,,
*330,13,,,
320,13,,,
*310,12,,,
300,12,,,
290,11,,,
*280,11,,,
270,10,,,
*260,10,,,
,,,,
*Use this SAT score when a single score point comparison is needed. ,,,,